field_0,dust,type,project,description,installs,links
2793,1201,RFA,ocamlgsl,GNU scientific library for OCaml,1021,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=784036
2794,1201,RFA,ocamlify,include files in OCaml code,4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=784035
2795,1201,RFA,ocamlmod,generate OCaml modules from source files,6,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=784034
2796,1555,RFP,ochusha,a GTK+ 2ch.net BBS browser,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=511785
2797,823,O,ocrad,optical character recognition program,1213,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=809544
2798,1016,RFP,ocropy,Python OCR engine using recurrent neural networks,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=788914
2799,962,RFP,oct2py,GNU Octave to Python bridge,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=743499
2800,89,RFP,octave-scicosim,Toolbox provides the functions for variable exchange bet[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=898967
2801,315,RFP,octoprint,Responsive web interface for 3D printers,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=718591
2802,1479,RFP,octopus,Real-space TDDFT-based electronic-structure code,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=602111
2803,1443,RFP,octopussy,"log analyzer, alerter & reporter",2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=635930
2804,98,RFP,octotree,browser sidebar listing files in remote VCS repository s[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=898241
2805,73,RFP,odoc,documentation generator for OCaml,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=900674
2806,1077,RFP,odoo,Enterprise Resource Management and business apps,274,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=638722
2807,1077,RFP,odoo,Enterprise Resource Management and business apps,274,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=650436
2808,1068,RFP,odoo,Enterprise Resource Management and business apps,274,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=638720
2809,511,O,odot,task list manager written in Gtk2-Perl,17,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=858396
2810,542,RFP,odt2braille,Export and emboss Braille documents using Libreoffice,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=630156
2811,220,O,odt2txt,simple converter from OpenDocument Text,1399,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=863324
2812,962,RFP,og-rek,Go library for encoding and decoding pickles,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=764565
2813,1161,RFP,oh-my-zsh,framework for managing your zsh configuration,4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=695990
2814,1824,RFP,ohnetlib,OpenHome UPnP Networking Stack,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=682190
2815,1134,RFP,old-default-imag[..],restore default image style used for top-level images in[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=791855
2816,553,RFP,olena,C++ Image Processing Platform,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=657974
2817,704,O,olsrd,optimized link-state routing daemon (unik-olsrd),33,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=812751
2818,823,O,omhacks,command line interface to OpenMoko hardware,4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=813211
2819,596,RFP,omi,"rich, high-performance, standards-based management stack",31,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=751076
2820,87,O,omnievents,omniORB event service,6,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=828919
2821,1369,RFP,omnisharp-server,HTTP server allowing C# editor plugins to be written in [..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=738649
2822,1824,RFP,omphalos,Network enumeration and domination,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=671385
2823,503,RFP,onion-grater,Whitelisting Tor Control Protocol Filter,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=859125
2824,605,RFP,onionmail,Anonymous and encrypted mail and web server as Tor hidde[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=799071
2825,604,RFP,onionmail-wizard,Wizard to subscribe a new OnionMail user account on TAIL[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=799079
2826,962,RFP,online-python-tutor,Online Python Tutor helps learn how to program in Python[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=737732
2827,1643,O,ooo2dbk,converts OpenOffice.org SXW documents to DocBook XML,194,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=738996
2828,170,RFA,opal,Portable Tools Library,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=891535
2829,157,RFP,opcua-client-gui,simple OPC-UA GUI client,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=841978
2830,94,RFP,open-broadcast-e[..],Video stream transcoder,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=898569
2831,49,O,open-cobol,cobol compiler,127,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=833460
2832,1179,RFP,open-ig,real-time space strategy game,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=786684
2833,95,RFP,open-infrastruct[..],utilities to ease daily  work with Git,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=824062
2834,95,RFP,open-infrastruct[..],Documentation for System Build et al.,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=816420
2835,95,RFP,open-infrastruct[..],d-i component for installing from images,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=834872
2836,95,RFP,open-infrastruct[..],system utilities for  non-standard Debian based systems,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=832769
2837,520,O,open-invaders,Space Invaders clone,367,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=826461
2838,1479,RFP,open-numismat,"application for coin lovers, numismatists or amateurs lo[..]",4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=702351
2839,361,RFP,open-rpi-firmware,Open source VPU side bootloader for Raspberry Pi,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=872600
2840,697,RFP,open2300,Reads data from a Lacrosse Weather Station,5,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=788810
2841,723,RFP,openassets,Reference implementation of the Open Assets Protocol,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=785744
2842,1906,RFP,openastro.org,Open Source Astrology,9,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=646308
2843,103,RFP,openastro.org,Open Source Astrology,9,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=646309
2844,1703,RFP,openav-artyfx,"A wavetable LV2 plugin synth, targeted at the electronic[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=726318
2845,1703,RFP,openav-fabla,A sampler LV2 plugin called Fabla.,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=726315
2846,1703,RFP,openav-sorcer,"A wavetable LV2 plugin synth, targeted at the electronic[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=726319
2847,188,RFP,openbazaar,server daemon for OpenBazaar network,30,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=817915
2848,922,RFP,openbugs,BUGS for Bayesian MCMC analysis.,13,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=751570
2849,1321,RFP,openca-ocspd,OCSP responder,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=774416
2850,313,O,openclipart,Open Clip Art Library,1108,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=690518
2851,313,O,openclipart [1] [2],Open Clip Art Library,1108,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=690519 https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=693660
2852,733,RFP,opencpn,A Chartplotter and GPS Navigation Software (written by a[..],73,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=653601
2853,174,RFP,opencpn,A Chartplotter and GPS Navigation Software (written by a[..],73,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=538067
2854,1479,RFP,opendb,PHP and MySQL based inventory application,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=710418
2855,1237,RFP,opendcp,Open Digital Cinema Package software,4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=655338
2856,1954,O,opendict,computer dictionary for several dictionary formats,142,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=704970
2857,718,O,opendict-lingvosoft,plugins for OpenDict - LingvoSoft Online Dictionaries,42,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=835568
2858,20,RFA,opendkim,Milter implementation of DomainKeys Identified Mail,1471,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=900774
2859,391,RFA,opendnssec,dependency package to install full OpenDNSSEC suite,76,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=869117
2860,1479,RFP,openecard,"lightweight eID client, integrates major international s[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=702028
2861,452,RFP,openedx,Course management system,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=863051
2862,1820,RFP,openframeworks,A C++ toolkit for creative coding,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=606161
2863,492,RFP,openfwwf,Open Firmware for Broadcom b43 wlan devices,8,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=513974
2864,1481,RFP,opengtl,Set of library for using transformation algorithms,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=642208
2865,184,RFP,openha,Easy high availability clustering,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=843708
2866,286,RFP,openhft-chronicl[..],Poor man's value types for Java 8+,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=832946
2867,1481,RFP,openhrp,Integrated software platform for robot simulation,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=695656
2868,807,O,openinbrowser,open files directly in the browser,104,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=714305
2869,538,RFP,openlase,"Laser show software for soundcard operation. Can open, m[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=694064
2870,1786,RFH,openldap,"OpenLDAP server, libraries, and utilities",327428,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=512360
2871,92,RFP,openmeca,a graphical application to model and simulate mechanical[..],2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=850590
2872,1824,RFP,openmm,library for molecular dynamics,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=680087
2873,130,RFP,openmolcas,Computational chemistry electronic structure package.,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=895124
2874,16,RFP,openmvs,open Multi-View Stereo reconstruction library,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=904952
2875,1121,RFA,opennebula,controller which executes the OpenNebula cluster services,41,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=773741
2876,1197,RFP,OpenNJ,Stay notified optimally,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=784554
2877,369,RFP,openoctave,MIDI and audio sequencer and musical notation editor,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=578787
2878,459,RFP,openomf,"Open Source remake of ""One Must Fall 2097""",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=796557
2879,171,RFP,openpace,OpenPACE implements Extended Access Control (EAC) version 2,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=891386
2880,962,RFP,openpgpkey-milter,automatically PGP encrypt emails for milter-capable MTAs,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=736497
2881,1091,RFP,openphoto,A photo application that lets you store your photos on D[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=667539
2882,730,RFP,openpilot,platform for aerial robotics or other mobile vehicular p[..],2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=782347
2883,214,RFP,openr,Open/R extensible network routing platform Package: wnpp,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=887051
2884,965,RFP,openrct2,theme park simulation game (clone of Rollercoaster Tycoon 2),6,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=808945
2885,1036,RFP,OpenRedAlert,"Remake engine of ""Red Alert"" and Command-n-Conquer with [..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=801513
2886,1856,RFP,openrefine,Power tool for working with messy data,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=717046
2887,1481,RFP,openrtm-aist,A component-based robotics middleware,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=695240
2888,565,RFP,openrtm-aist-python,A component-based robotics middleware,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=695258
2889,962,RFP,openscribe,app for transcribing audio files using a USB footpedal,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=766941
2890,1119,RFP,openssh-hpn,secure shell (SSH) client/server with HPN (performance) [..],2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=793349
2891,509,RFH,openssl,Secure Socket Layer (SSL) binary and related cryptograph[..],191286,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=332498
2892,962,RFP,openstack-guest-[..],Agent to install in VMs running under a Xen-based OpenSt[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=735520
2893,288,RFP,openstack-manuals,docs for installing and using OpenStack,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=832580
2894,18,O,opentoken,OpenToken lexical analysis library for Ada,11,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=904766
2895,178,RFP,opentracker,An open and free bittorrent tracker,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=685575
2896,821,RFP,opentype-sanitiser,OpenType Sanitiser (ots),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=817031
2897,2243,RFH,openvanilla-modules,libraries of openvanilla input method,42,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=678401
2898,549,RFP,openvibe,software platform for BCI,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=580247
2899,539,RFP,openviewerfx,Open Source JavaFX PDF Viewer,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=802176
2900,205,RFP,openvisualtraceroute,Visual Traceroute displaying in a 3D map,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=725776
2901,312,RFA,openvpn-auth-ldap,OpenVPN LDAP authentication module,279,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=877915
2902,24,RFP,openvpn3,Next generation OpenVPN client for Linux,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=904044
2903,1295,RFP,openvsp,Parametric 3D Modeler,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=776426
2904,534,O,openwince-include,Common include files for the open wince project,11,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=843237
2905,534,O,openwince-jtag,allows programming jtag capable devices such as CPUs or [..],29,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=843238
2906,962,RFP,openwsman,Open Web Services Manager,125,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=754501
2907,647,RFP,openxcom,Open-source clone of the original X-Com game,18,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=794470
2908,1753,RFP,optar,software codec generating 2D barcodes for data storage o[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=633689
2909,1314,O,optcomplete,provide bash-completion for Python programs,61,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=774993
2910,688,RFP,opus-placement,on-line application for managing work and practice based[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=415241
2911,1036,RFP,oqplus,GPL content for Quake engines,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=799828
2912,365,RFP,orangehrm,Web based software to manage empolyees of a company,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=786622
2913,1368,O,orbit2,high-performance CORBA implementation - common libraries,1546,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=738869
2914,962,RFP,orchid,a tor client implementation and library written in pure java,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=740364
2915,181,RFA,oregano,tool for schematical capture of electronic circuits,757,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=890503
2916,720,RFP,orientdb,A Multi-Model NoSQL Database,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=786581
2917,730,RFP,orocos-log4cpp,C++ library for flexible logging,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=782745
2918,730,RFP,orocos-ocl,Orocos Component Library,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=782623
2919,730,RFP,orocos-rtt,Orocos Real-Time Toolkit,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=782210
2920,730,RFP,orocos-typelib,C/C++ type introspection library,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=783016
2921,730,RFP,orocos-utilrb,Ruby toolkit: collection of useful Ruby classes,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=783008
2922,1825,RFP,os-uninstaller,Small tool to uninstall any OS in 1 click,7,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=637073
2923,1474,O,oscpack,A C++ library for packing and unpacking OSC packets,12,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=738179
2924,409,O,osdclock,Clock using the XOSD library,80,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=866940
2925,310,RFP,oskar,Oxford's Square Kilometre Array Radio-telescope simulator,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=830125
2926,555,RFP,osm-tile-server,OpenStreetMap tile server,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=803988
2927,230,RFP,osquery,operating system instrumentation framework,37,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=803502
2928,1353,RFP,osra,optical structure recognition application,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=682760
2929,679,RFP,ossec-hids,Host-based intrusion detection system,47,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=361954
2930,1617,O,osspsa,Abstraction library for the Unix socket API,23,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=741474
2931,240,RFP,otf2,Open Trace Format 2,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=837731
2932,1353,RFP,otpasswd,one-time passwords implementation for PAM,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=562968
2933,711,O,ots,Open Text Summarizer (development),3403,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=836472
2934,733,RFP,overbiteff,Add-on for Iceweasel/Firefox that provides improved goph[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=589060
2935,158,RFP,overcommit,Git hook manager,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=847063
2936,1825,RFP,overlay-scrollbar,scrollbar overlay,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=675078
2937,472,RFP,ovirt-server,Web based application for managing virtual machines,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=502025
2938,273,RFP,owl-lisp,functional implementation of Scheme,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=811108
2939,61,RFP,owo-cli,"A URL shortener, file uploader, and screenshotter for th[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=857493
2940,624,RFP,oxidized,network device configuration backup tool,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=797000
2941,52,RFP,p2c,Pascal to C translator,12,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=895637
2942,1613,RFP,p2p-client,the client side of peer-to-peer vnc,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=737817
2943,475,RFP,p2pool,peer-to-peer pool for Bitcoin mining,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=657712
2944,974,O,p9m4,GUI for Prover9 and Mace4,20,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=808028
2945,975,RFP,packetbeat,real-time network packet analyzer and logger,58,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=806484
2946,359,O,pacman,Chase Monsters in a Labyrinth,783,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=869291
2947,1163,RFP,pacman-package-m[..],minimalist package manager using tarballs and scripts,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=511994
2948,37,RFP,pacvim,a game that teaches you vim commands,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=902435
2949,1507,RFP,padb,Parallel Application Debugger,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=753330
2950,1128,O,pads,Passive Asset Detection System,20,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=792353
2951,1121,RFP,pagemap,analyze and print the physical memory layout of a Linux [..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=717075
2952,1302,RFP,pageres,Capture screenshots of websites in various resolutions o[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=775859
2953,190,RFP,palemoon-browser,"Open Source, Firefox-based web browser",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=780379
2954,232,RFA,pam-dbus,"Handler for the pam-dbus module, using notification-daemon",153,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=885399
2955,1821,RFP,pam-face-authent[..],a pluggable authentication module for face authentication,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=589900
2956,566,RFP,pam-kwallet,KWallet integration with PAM,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=762402
2957,1667,O,pam-shield,locks out remote attackers trying password guessing,67,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=735912
2958,604,RFP,panda3d,"Panda3D is a game engine, a framework for 3D rendering a[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=597172
2959,846,RFP,pandoc-crossref,"Pandoc filter for cross-referencing sections, figures, t[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=822173
2960,556,RFP,pandoc2rfc,Use pandoc to create XML suitable for xml2rfc,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=803892
2961,962,RFP,pantheon-files,The file manager of the Pantheon desktop,69,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=750823
2962,637,RFP,pantheon-greeter,Pantheon Login Screen,62,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=750824
2963,431,RFP,paper-gtk-theme,modern desktop GTK2/GTK3 theme suite,373,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=862403
2964,909,RFP,paperless,"Scan, index, and archive all of your paper documents",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=815023
2965,469,RFP,paperwork,"a ""scan & forget"" tool to make papers searchable",3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=721287
2966,469,RFP,paperwork,Application to manage paper documents using OCR,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=861716
2967,47,O,par,Paragraph reformatter,364,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=902676
2968,1522,RFP,par2,concurrent (multithreaded) version of par2cmdline,1975,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=535860
2969,646,RFP,par2,concurrent (multithreaded) version of par2cmdline,1975,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=645380
2970,24,RFA,paredit-everywhere,cut-down version of paredit for non-lisp buffers,15,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=904243
2971,181,RFP,parity,Parity Ethereum client,78,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=890550
2972,758,O,parsewiki,Documentation System Based on ASCII Text,22,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=831720
2973,593,RFP,parsoid,Web service converting HTML+RDFa to MediaWiki wikitext a[..],90,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=831424
2974,1123,O,partimage,disk cloning/backup utility,1684,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=610028
2975,1606,O,partimage-doc,documentation for partimage,163,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=610031
2976,549,RFP,partitionfinder,programs for simultaneously choosing partitioning scheme[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=804646
2977,2587,O,pasmo,An easy to use Z80 cross-assembler,33,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=634068
2978,53,RFP,passh,"passh: a pass fork - stores, retrieves, generates, and s[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=858229
2979,197,O,pastescript,serving web applications,1177,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=740531
2980,1627,RFA,pastewebkit,port/reimplementation of Webware WebKit in WSGI and Paste,29,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=740533
2981,1613,RFP,pastie,A simple clipboard manager with appindicator support,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=734085
2982,962,RFP,patchclamp,basic tool for patch clamping physiology recordings,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=752737
2983,124,RFP,patchwork,a console or web based patch tracking system,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=703226
2984,389,O,pax-britannica,one-button multi-player real-time strategy game,151,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=869292
2985,1825,RFP,payyans,A python utility to convert between ASCII and Unicode.,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=620808
2986,1479,RFP,pbis-open,Authentication services for Active Directory domains (Be[..],88,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=642172
2987,1481,RFP,pbsclusterviz,PBS Cluster Visualisation,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=692829
2988,292,RFP,pbtestdata,small Pacific Biosciences datasets for testing,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=832311
2989,1703,RFA,pconsole,parallel console shell for administering clusters,63,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=696888
2990,195,RFP,pd-bandlimited,bandlimited (non-aliasing) waveform generators for Pure Data,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=842398
2991,948,RFP,pd-iem-bin-ambi,binaural spatial audio for Pure Data using Ambisonics,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=603178
2992,190,RFP,pd-vasp,VASP modular - Vector assembling signal processor for PD,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=843044
2993,960,RFP,pdcalc,determine what is public domain and what's not,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=809306
2994,1287,RFA,pdfresurrect,tool for extracting/scrubbing versioning data from PDF d[..],208,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=777099
2995,860,RFP,pdftable,extract tables from PDF files,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=820171
2996,675,RFP,pdftables,parse PDFs and extracts what it believes to be tables,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=791679
2997,1613,RFP,pdftk-qgui,a simple GUI for pdftk,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=741264
2998,920,O,pdmenu,simple console menu program,133,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=768527
2999,2514,RFP,peazip,"cross platform archiving, encryption and file split tool",118,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=442344
3000,175,RFP,peazip,file and archive manager,118,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=499376
3001,1825,RFP,pebl-language,platform for psychology experiments,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=650775
3002,565,RFP,peerguardian,IP blocking software,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=578192
3003,1354,O,pegasus-wms,Scientific workflow management system for HTCondor,44,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=771488
